Uniprot.ID,Symbol,Hu.Symbol,NVmean,NDmean,TVmean,TDmean,TVNVdir,NVND.adj,NVTV.adj,NVTD.adj,Tdrescue,J.Symbol,J.Uniprot,Fvalue,ANOVA,AS.pval.adj,AD.pval.adj,AS.sig,AD.sig,CT.log,AS.log,AD.log,AS.dir,AD.dir,AS.match,AD.match,AS.sigmat,AD.sigmat
P16125,Ldhb,LDHB,0.965,1.21475,1.3585,1.2715,up,0.09026666,0.013977064,0.003755979,nr,LDHB,P07195,0.417651908,0.661174825,0.993951728,0.698479853,ns,ns,0,0.004828167,0.042394535,up,up,match,match,no,no
P16330,Cnp,CNP,0.97975,1.03425,1.4285,1.31375,up,0.716385478,0.004879824,0.152650047,resc,CNP,P09543,1.638618725,0.205879389,0.204965199,0.855287287,ns,ns,0,0.378073257,0.115134882,up,up,match,match,no,no
P17156,Hspa2,HSPA2,0.94,0.999,1.0905,0.99725,up,0.235782993,0.035417585,0.178148603,resc,HSPA2,P54652,1.031438583,0.364951821,0.331608648,0.718199444,ns,ns,0,0.325925723,0.136238219,up,up,match,match,no,no
P17182,Eno1,ENO1,0.8945,0.99225,1.0345,0.9905,up,0.080125509,0.022355225,0.070312194,resc,ENO1,P06733,5.557873973,0.007045201,0.954915456,0.015190157,ns,sig,0,0.018909806,0.291135481,up,up,match,match,no,yes
P19536,Cox5b,COX5B,1.04975,0.88925,0.75225,0.84725,down,0.305022343,0.044521828,0.118677021,resc,COX5B,P10606,2.649326309,0.081957328,0.594307721,0.070187982,ns,ns,0,-0.068267468,-0.156974217,down,down,match,match,no,no
P19783,Cox4i1,COX4I1,1.2765,1.257,0.94075,1.10775,down,0.906138092,0.036950174,0.197541648,resc,COX4I1,P13073,0.848753159,0.434834354,0.555629534,0.997603069,ns,ns,0,-0.100688121,-0.003180527,down,down,match,match,no,no
P21107-2,Tpm3,TPM3,1.1575,1.0805,0.8225,0.8265,down,0.38286592,0.02383435,0.002339055,nr,TPM3,P06753-6,0.135832716,0.873370598,0.961438836,0.86203031,ns,ns,0,0.0242301,0.052616342,up,up,unm,unm,no,no
P23242,Gja1,GJA1,1.1805,1.167,1.29975,1.24775,up,0.785454734,0.033817853,0.372940078,resc,GJA1,P17302,8.5339937,0.000738005,0.96683302,0.002601767,ns,sig,0,0.02112507,0.394994533,up,up,match,match,no,yes
P26443,Glud1,GLUD1,0.72225,0.83275,1.2315,0.99975,up,0.230770729,0.037895329,0.023443452,nr,GLUD1,P00367,3.554900717,0.03705669,0.038040698,0.728551379,sig,ns,0,-0.141686726,-0.040989242,down,down,unm,unm,no,no
P26883,Fkbp1a,FKBP1A,1.0585,1.06925,0.85625,0.9405,down,0.83412388,0.035527205,0.050099328,resc,FKBP1A,P62942,11.59990581,8.99E-05,0.002118249,8.62E-05,sig,sig,0,-0.302129131,-0.370661294,down,down,match,match,yes,yes
P28667,Marcksl1,MARCKSL1,1.4085,1.2645,0.89225,0.8465,down,0.523058051,0.002705703,0.00220957,nr,MARCKSL1,P49006,1.196712574,0.311829552,0.699810413,0.799462335,ns,ns,0,0.173949121,-0.019103854,up,down,unm,match,no,no
P29595,Nedd8,NEDD8,1.05,0.87075,0.68925,0.84275,down,0.228166298,0.025817465,0.118105282,resc,NEDD8,Q15843,2.416657669,0.100972304,0.933917501,0.125472348,ns,ns,0,-0.177748809,-0.541070642,down,down,match,match,no,no
